Title,Company,Location,Skills
Product Manager II,Nykaa,"Gurugram, Haryana, India",Communication
Manager Talent Management,Air India SATS Airport Services Private Limited (AISATS),Mumbai Metropolitan Region,"Excel, Data Analysis, Leadership"
Support Human resources,Aditya Birla Group,"Jharkhand, India",
Support Data Entry F&A,Aditya Birla Group,"Gujarat, India",
"Manager, Product Management [T500-17783]",McDonald's,"Hyderabad, Telangana, India","R, Cloud"
Planning Executive,Aditya Birla Fashion and Retail Ltd.,"Karnataka, India",
Procurement Operational,Capgemini,Greater Kolkata Area,R
Key Account Manager,Bata India Limited,"Gurugram, Haryana, India",
Team Member - Document Controller,Aditya Birla Group,"Gujarat, India",
News Writer,Network18 Media & Investments Limited,"Noida, Uttar Pradesh, India",
General Manager,Etihad,"Mumbai, Maharashtra, India",Leadership
"Sales Assistant, Amazon Retail India",Amazon,"Bengaluru, Karnataka, India",
Senior Business Analyst,Swiggy,"Bengaluru, Karnataka, India","Python, SQL, Excel, R"
Assistant Marketing Manager - Analytics,Unilever,"Mumbai, Maharashtra, India","Excel, Leadership"
"Support Health, Safety & Env",Aditya Birla Group,"Jharkhand, India",Communication
Customer Care Executive,Mahe Technologies Private Limited,Greater Kolkata Area,
Assistant Manager - TG & Aux,Adani Power,"Korba, Chhattisgarh, India",Communication
Customer Service Lead,H&M,"Delhi Cantonment, Delhi, India",Communication
Store Manager,H&M,"Bhopal, Madhya Pradesh, India","Communication, Leadership"
Executive N - Retail Sales VIZAG,Asian Paints,"Andhra Pradesh, India","Python, Communication, Java, Linux"
